,SMILES,pIC50,num_atoms,logP
3692,NC(=O)NCCCC(N)C(=O)O,,12,-1.1532
3693,CC(O)C(F)(F)F,0.12,7,0.9295
3694,OCC(F)(F)C(F)(F)C(F)(F)F,0.02,12,1.8116
3695,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1C(=O)CO,0.0,27,2.7808
3696,CCOC(=O)C(F)(F)F,0.08,9,1.1118
3697,O=[N+]([O-])c1ccccc1C(F)(F)F,0.0,13,2.6136
3698,COc1ccc(C(c2ccc(OC)cc2)C(F)(F)F)cc1,0.0,21,4.398
3699,O=C(O)c1c(F)cccc1F,0.02,11,1.663
3700,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,0.04,17,1.42302
3701,Fc1c(F)c(F)c(F)c(F)c1F,0.0,12,2.5212
3702,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,0.0,17,3.1752
3703,COC(=O)c1ccccc1F,0.02,11,1.6123
3704,Fc1cccc2cccnc12,0.0,11,2.3739
3705,CC(=O)Nc1cccc(Cl)c1F,0.0,12,2.4375
3706,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,0.15,19,0.8334
3707,CC(=O)Nc1ccccc1F,0.02,11,1.7841
3708,O=[N+]([O-])c1cc(C(F)(F)F)ccc1O,0.0,14,2.3192
3709,FC(F)(F)c1cccc(C(F)(F)F)c1,0.0,14,3.7242
3710,CN(C)N=Nc1cccc(C(F)(F)F)c1,0.0,15,3.2657
3711,Oc1ccc(C(F)(F)F)cc1,0.0,11,2.411
3712,O=[N+]([O-])c1ccc(C(F)(F)F)cc1,0.0,13,2.6136
3713,O=[N+]([O-])c1cccc(F)c1,0.02,10,1.7339
3714,COC(=O)c1ccc(F)cc1,0.02,11,1.6123
3715,CC(=O)c1ccc(F)cc1,0.01,10,2.0283
3716,N#Cc1cccc(F)c1,0.02,9,1.69738
3717,O=C(Nc1ccccc1)C(F)(F)F,0.01,13,2.1874
3718,O=C(O)COc1cccc(F)c1,0.05,12,1.2891
3719,O=C(O)Cc1ccc(F)cc1,0.04,11,1.4528
3720,O=C(O)COc1ccc(F)cc1,0.05,12,1.2891
3721,N#CN,,3,-0.57382
3722,CC(=O)C(F)(F)F,0.07,7,1.1377
3723,OCC(F)(F)C(F)(F)F,0.07,9,1.1763
3724,FC(F)(c1ccccc1)C(F)(F)c1ccccc1,0.0,18,4.5704
3725,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0.0,27,2.9233
3726,O=S(=O)(c1ccccc1)C(F)(F)F,0.01,13,1.9801
3727,CCOC(=O)C(F)(F)C(F)(F)F,0.02,12,1.7471
3728,CC(=O)CF,0.29,5,0.5449
3729,CC(=O)C(C)=O,0.68,6,0.1644
3730,COC(=O)C(F)(F)F,0.19,8,0.7217
3731,NS(=O)(=O)c1nc2ccccc2s1,0.11,13,0.9437
3732,FC(F)(F)c1ccc(C(F)(F)F)cc1,0.0,14,3.7242
3733,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,0.0,23,3.8826
3734,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O,0.0,20,3.4891
3735,O=C(c1ccccc1)C(F)(F)F,0.0,12,2.4316
3736,O=C(O)c1c(F)cccc1Cl,0.01,11,2.1773
3737,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.0,21,4.0405
3738,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,25,4.1367
3739,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.0,20,3.1538
3740,COc1ccc2c(c1)[nH]c1c(C)nccc12,0.0,16,3.03312
3741,Cc1ncc([N+](=O)[O-])n1CCO,0.81,12,0.09202
3742,Oc1ccccc1C(F)(F)F,0.0,11,2.411
3743,NC(=O)c1ccccc1F,0.12,10,0.9246
3744,O=C(O)c1ccccc1F,0.03,10,1.5239
3745,Nc1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],0.01,17,2.104
3746,Nc1ccc(C(=O)O)c(F)c1,0.08,11,1.1061
3747,O=[N+]([O-])c1ccc(F)cc1O,0.04,11,1.4395
3748,OCc1ccccc1F,0.05,9,1.318
3749,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,0.07,19,1.1458
3750,O=C(O)Cc1cc(O)ccc1O,0.19,12,0.7249
3751,O=C(Cc1ccccc1)c1ccccc1,0.0,15,3.112
3752,O=C(O)Cc1ccccc1F,0.04,11,1.4528
3753,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,0.05,16,1.3424
3754,Cc1ccc(O)c(O)c1,0.04,9,1.40622
3755,OC(CF)CF,0.52,6,0.2863
3756,CCOC(=O)C(F)F,0.15,8,0.8146
3757,O=Cc1cccc(C(F)(F)F)c1,0.0,12,2.5179
3758,O=C(O)c1cccc(C(F)(F)F)c1,0.0,13,2.4036
