,SMILES,pIC50,num_atoms,logP
27,CC(C)(C)OC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,5.613705035971224,46,3.0497000000000014
28,COc1ccccc1OCCN1CCN(c2ccc(=O)n(Cn3nc(N4CCN(CCOc5ccccc5OC)CC4)ccc3=O)n2)CC1,5.613705035971224,49,1.7250000000000023
29,CCCCCC[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.613705035971224,55,3.129800000000004
30,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)O,5.613705035971224,55,0.000170000000009
31,O=S(=O)(CCO)c1no[n+]([O-])c1-c1ccccc1,0.1160288683602771,18,-0.2590000000000003
32,CN1C(=O)[C@H](NC(=O)Nc2cccc(OCCNC(=O)COCC(=O)NNC(=O)COCC(=O)N[C@H]3CC[C@@]4(O)[C@H]5Cc6cc(O)cc7c6[C@@]4(CCN5C)[C@H]3O7)c2)N=C(c2ccccc2)c2ccccc21,5.613705035971224,71,0.9983000000000092
33,C=C1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,5.613705035971224,53,0.3331000000000041
34,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCC(O)CCCC(O)CCC[C@@H](O)CC2=C[C@H](C)OC2=O)O1,5.613705035971224,43,6.032100000000008
35,CNc1nc2sc(SC)nc2c2c1ncn2C,1.475933523266857,17,2.3416
36,O=C(NO)[C@H]1C[C@]1(Cc1ccc(OCc2cc(-c3ccccc3)nc3ccccc23)cc1)C(=O)N1CCC[C@H]1CO,5.613705035971224,41,4.518300000000004
37,CC(=O)OC[C@]12[C@H](OC(C)=O)C(=O)[C@@H]3[C@@H](O)[C@]1(OC3(C)C)[C@](C)(O)C[C@H](OC(C)=O)[C@@H]2OC(C)=O,0.1160288683602771,35,-0.406899999999998
38,CCCC1(C)CC(=O)N(CCCCN2CCN(c3nsc4ccccc34)CC2)C(=O)C1.Cl,1.475933523266857,32,4.575700000000006
39,CCCCCC(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(N)=O)[C@@H]2C[C@H]1OC(=O)O2,1.475933523266857,27,3.6258000000000017
40,CC(C)C/C(=C\[C@H](O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,5.613705035971224,58,2.058570000000005
41,C/C=C(\C)C(=O)O[C@@H]1[C@@H]2[C@H]([C@H](OC(=O)C(C)CC)[C@H](OC(C)=O)/C(C)=C/[C@@]34O[C@@]3(C[C@H](C)[C@@H]4OC(C)=O)C(=O)[C@@H]1C)C2(C)C,1.475933523266857,44,4.670600000000005
42,Cl.O=C(Nc1ccc2c(c1)c1ccccc1n2CCCCN1CCN(C/C=C/c2ccccc2)CC1)c1ccccc1,5.613705035971224,42,7.579800000000008
43,CC(C)=CCC/C(C)=C/C=C/C(=O)N1CCCC1,0.1160288683602771,18,3.857700000000003
44,CNC(=O)c1cc(C(O)CNC(C)CCc2ccc3c(c2)OCO3)ccc1O.Cl,1.475933523266857,29,2.5466000000000006
45,CNC(=O)[C@H](CCCNC(=O)OC(C)(C)C)NC(=O)[C@H](CCCc1ccccc1)[C@@](C)(O)C(=O)NO,0.1160288683602771,36,1.4176000000000015
46,COc1ccccc1N1CCN(CCCNC(=O)c2ccccc2I)CC1.O=C(O)C(=O)O,1.475933523266857,33,2.3975
47,Cc1cc(NC(=O)c2cc(Cl)cc(Cl)c2O)ccc1Sc1nc2ccccc2s1,5.613705035971224,29,7.020620000000004
48,CN(C/C=C/c1ccc(C#N)cc1)Cc1ccc2c(c1)CCO2,1.475933523266857,23,3.6383800000000015
49,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C#N)cc23)cc1Cl,1.475933523266857,30,3.7366800000000016
50,Cc1cccc(NC(=S)Nc2ccc3c(c2)C(=O)OC3)c1,1.475933523266857,21,3.4743200000000014
51,C=CCn1cc(C[C@@H]2NC(=O)[C@@H]3CCCN3C2=O)c2ccc(OC)cc21,1.475933523266857,26,1.8678
52,Cc1ccc(Oc2nc3ccccc3nc2N2CCN(C)CC2)cc1,1.475933523266857,25,3.4823200000000023
53,O=C1CC(c2ccc(-c3ccccc3)cc2)c2c(ccc3ccccc23)N1,5.613705035971224,27,5.980900000000004
54,CC(=O)NC(C(=O)N1CCSCC1)[C@H]1CC(C(=O)O)C[C@@H]1N=C(N)N,0.1160288683602771,25,-1.1806999999999963
55,CCCc1cnnn1-c1c(Cl)cc(C(F)(F)F)cc1Cl,1.475933523266857,20,4.5454000000000025
56,O=C(O)C(=O)Nc1nc(-c2cc(Cl)no2)cs1,0.1160288683602771,17,1.4745999999999997
57,CCc1c(C)[nH]c2c1/C(=N/OC(=O)NCCc1cccnc1)CCC2,1.475933523266857,25,3.2898200000000024
58,CCC[C@@H]1NC(=O)[C@@H](C(C)C)NC(=O)[C@@H](Cc2ccc(O)cc2)NCc2ccccc2CCCCNC1=O,1.475933523266857,38,2.9713000000000003
59,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CCc1ccccn1)CC2,1.475933523266857,29,2.590600000000001
60,C[C@H]1CC[C@@]2(OC1)O[C@H]1CC3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O[C@H]7O[C@H](C)[C@@H](OCCNC(=O)CCCCl)[C@H](O)[C@@H]7O)[C@H](O)[C@H]6O[C@H]6O[C@H](C)[C@@H](O)[C@H](O)[C@@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,5.613705035971224,70,2.401200000000008
61,O=C(NC[C@@H]1CCCNC1)[C@H]1CCCN1C(=O)[C@@H]1C[C@@H](O)CN1C(=O)CC(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1,5.613705035971224,48,3.897000000000004
62,CCC(C)CNc1nc(C#N)nc2c1NCN2Cc1ccccc1,1.475933523266857,24,3.1958800000000016
63,CCOC(=O)COC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,0.1160288683602771,26,2.1409
64,CC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,1.475933523266857,37,5.264340000000006
65,CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)OC(=O)[C@H]1C,5.613705035971224,39,4.883600000000005
66,CCCN1c2cc(C)nc3c(-c4ccc(Cl)cc4Cl)nn(c23)C[C@@H]1CC,1.475933523266857,26,5.722120000000005
67,CN(C)[C@H]1[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](N)[C@H]2O)[C@H](NC(=O)[C@@H](O)CCN)C[C@H](N)[C@H]1O[C@H]1O[C@H](CN)CC[C@H]1N,0.1160288683602771,40,-5.830100000000012
68,N=C(N)NC(=O)OCc1cccc(N2CCC(Oc3cccnc3)CC2)c1F,1.475933523266857,28,2.38817
69,CCCCc1oc2ccccc2c1Cc1cccc(/C(C)=C/Cn2oc(=O)[nH]c2=O)c1,5.613705035971224,31,4.9127000000000045
70,C[C@H](NC(=O)[C@H]1Cc2c(sc3ccccc23)CN1)c1ccccc1.Cl,1.475933523266857,25,4.214800000000004
71,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.613705035971224,36,7.398500000000008
72,COC(=O)c1cc(CCc2ccc(OC)cc2OC)ccc1O,1.475933523266857,23,2.9812000000000016
73,C=C(CO)[C@]12C=C3C(=O)C[C@@H](C(C)C)[C@]3(C)C[C@@H](O)[C@@]1(C)CC(=O)O2,0.1160288683602771,25,2.1692
74,C=C(CC(O)C(C)(O)[C@H]1CC[C@H]2C3=C[C@H](OC(C)=O)[C@H]4[C@@H](OC(C)=O)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,1.475933523266857,39,4.7237000000000045
75,O=c1[nH]cnc2c1ncn2C(COCCP(=O)(O)O)COCCP(=O)(O)O,0.1160288683602771,27,-0.9507
76,N=C(N)N1CCC[C@H]1Cc1nc(-c2ccc(Nc3nc(-c4cc(C(F)(F)F)ccc4F)cs3)cc2)no1,5.613705035971224,37,5.661970000000003
77,CC1(c2ccccn2)ON=C(c2ccccc2Cl)O1,1.475933523266857,19,3.316300000000002
78,c1ccc2cc(CC3=NCCN3)ccc2c1,1.475933523266857,16,2.3840000000000003
79,Cn1c(=O)c2c3c(cnc2n(C)c1=O)C(=O)C=CC3=O,0.1160288683602771,20,-0.4325999999999999
80,NCCCCN(Cc1ccc(OCCc2ccccc2)cc1)Cc1ccc(OCCc2ccccc2)cc1.O=C(O)C(F)(F)F,5.613705035971224,45,7.304000000000008
81,CN(CCNC(=O)N1CCN(c2ccccc2)CC1)Cc1ccccc1,1.475933523266857,26,2.6502
82,Cc1ccc[n+](CCC#Cc2ccc(C#CCC[n+]3cccc(C)c3)cc2)c1.[Br-].[Br-],0.1160288683602771,30,-2.229959999999995
83,CO[C@@H]1[C@@H](O[C@H]2CC[C@H](OC)[C@@H](C)O2)[C@H](C)[C@@](O)(CC(=O)[O-])O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@@H](O)[C@@H](C)C[C@@H](C)[C@@H](C)O)C[C@@H]4O[C@H]4CC[C@H](OC)[C@@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.[Na+],5.613705035971224,71,0.9059000000000124
84,CCCCCCCC/C=C\CCCCCCCC(=O)N1CCc2cc(OC)c(OC)cc2C1Cc1ccc(OC)c(OC)c1,5.613705035971224,44,9.427
85,N=C(NCCCNCCCCCCCNCCCNC(=N)NCc1ccccc1)NCc1ccccc1,1.475933523266857,37,3.524640000000005
86,CN1CCc2cccc3c2[C@H]1Cc1ccc(CO)c(O)c1-3,1.475933523266857,21,2.6366000000000023
87,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CNC(=O)CCCCCF)NC(=O)[C@H](CO)NC(=O)CN)C(N)=O,0.1160288683602771,44,-1.7031999999999927
88,COc1cc2c(O[C@@H]3OC[C@](O)(CO[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O[C@@H]3OC[C@H](O)[C@H](O[C@@H]4OC[C@](O)(CO)[C@H]4O)[C@H]3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3,5.613705035971224,64,-2.865999999999985
89,CCCCCC/C=C\CCCCCCCc1cccc(O)c1C(=O)O,1.475933523266857,25,6.500100000000008
90,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)O,5.613705035971224,53,4.702900000000003
91,C[C@H](/C=C/[C@@H](C)[C@H]1C[C@@H](O)[C@@H]2[C@]1(C)CC[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)C[C@@H]3[C@@H](O)C[C@]12O)[C@H](C)C(=O)NCCS(=O)(=O)[O-].[Na+],0.1160288683602771,50,-2.3440999999999903
92,CN(Cc1ccccc1)C(=S)N1CCC(c2cccc(Cl)c2)=N1,1.475933523266857,23,4.166700000000004
93,CCOC(=O)c1ccc2ncc(C(=O)OCC)c(Nc3ccc(NC(C)=O)cc3)c2c1,1.475933523266857,31,4.290200000000003
94,COCCOc1ccc(N2CCN(Cc3cccc(-c4cc5nc(-c6ccco6)nn5c(N)n4)c3)CC2)c(Cl)c1,5.613705035971224,40,4.634300000000003
95,O=C([O-])c1cc(F)ccc1Cn1nnc(-c2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)n1.[Na+],5.613705035971224,36,1.2670000000000003
96,COC(=O)/C=C1/C(=O)N2C1S(=O)(=O)[C@@](C)(COC(=O)CSc1nnnn1C)[C@@H]2C(=O)O,0.1160288683602771,31,-2.2465999999999964
97,NC(=O)c1ccccc1-n1cnc2ccccc21,1.475933523266857,18,2.1244
98,CC1CC(=O)NN=C1c1ccc(NC(=O)CCNCC(O)COc2cccc3[nH]ccc23)cc1.Cl,5.613705035971224,35,2.8079000000000014
99,CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2,0.1160288683602771,16,2.7790000000000017
100,CN1CCc2cc3c4cc2[C@@H]1Cc1ccc(O)c(c1)Oc1ccc(cc1)C[C@H]1c2c(cc(O)c(c2O4)O3)CCN1C,5.613705035971224,41,6.64490000000001
101,C[C@H]1[C@@H](OCC(CO[C@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,5.613705035971224,51,5.212200000000004
102,COC(=O)[C@H]1C[C@H](O)CCN1,0.1160288683602771,11,-0.7277000000000002
103,C=Cc1c(C)c2cc3nc(c(C(=O)C(=O)OC)c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)OC)[C@@H](CCC(=O)OC)[C@@H]3C,5.613705035971224,48,6.898140000000008
104,C[C@H]1[C@@H](OCC23CC4CC(CC(C4)C2)C3)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1.475933523266857,31,5.427400000000006
105,CCCCCCO[C@H]1C=C(C(=O)O)O[C@@H]([C@H](O)[C@H](O)CO)[C@@H]1NC(C)=O,0.1160288683602771,26,-0.4619999999999982
106,CC1(C)CCC(C)(C)c2cc3c(ccn3C(=O)c3ccc(C(=O)O)cc3)cc21,1.475933523266857,28,5.377000000000005
107,C[C@H](CCCn1nnc(-c2ccccc2)n1)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,5.613705035971224,36,5.203400000000006
108,C[C@H]1CC[C@@H](NCc2ccc3c(c2)Cc2c(-c4ccc(CC(=O)O)cc4)n[nH]c2-3)CC1,5.613705035971224,31,4.943300000000003
109,COc1ccc(C(=O)O[C@@H]2C3C[C@H](OC(=O)c4ccco4)[C@]4(C)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C[C@](C)(O)C24OC3(C)C)cc1,5.613705035971224,44,3.631100000000002
110,O=C(c1cccc2c(NCCCCCCNc3c4ccccc4nc4c(C(=O)N5CCOCC5)cccc34)c3ccccc3nc12)N1CCOCC1,5.613705035971224,52,7.118600000000009
111,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C(=O)O)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C)[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,5.613705035971224,56,2.830200000000003
112,C=C(C)N1Cc2cccc3[nH]c(=O)n(c23)C(C)C1,1.475933523266857,18,2.2398
113,Cc1nonc1-c1nc(S)n[nH]1,0.1160288683602771,12,0.4518199999999999
114,Cc1ccc(OCCCON/C(N)=N/C(N)=N/C(C)C)cc1C.Cl,0.1160288683602771,24,2.0531400000000004
115,CC(C#CCN1CCCC1)N(C)S(C)(=O)=O,0.1160288683602771,16,0.3654999999999999
116,C/C(=C\CC1OC(=O)NC1=O)c1cccc(OCCc2nc(-c3ccccc3)oc2C)c1,5.613705035971224,32,4.699920000000004
117,CC(=O)O[C@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@H]1OC(C)=O,1.475933523266857,25,2.4999
118,C=C(C)[C@@H]1CC[C@]2(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.613705035971224,53,3.673200000000002
119,CCN(CC)C(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,5.613705035971224,43,3.1834000000000024
120,O=C(CCNC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)NCP(=O)(Oc1ccccc1)Oc1ccccc1)OC1CCc2ccccc21,5.613705035971224,49,7.899900000000008
121,CCN(CC)c1nc(Cc2c(F)cccc2F)cc(=O)[nH]1,1.475933523266857,21,2.4851
122,CCCCOP(=O)(OCCCC)OC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)COc3ccccc3)[C@H]2CC1,1.475933523266857,36,3.6091000000000015
123,c1cc2c(c(N3CCN(CCCCCc4c[nH]c5ccccc45)CC3)c1)OCCO2,5.613705035971224,30,4.474100000000004
